stemid tag branch sp gx gy dbh status q100
022576.0 022576 0 MACHTH 41.78 351.26 20.1 A 4
022587.0 022587 0 WENDFO 40.89 357.52 14.3 A 4
022588.0 022588 0 LITSAC 42.39 359.93 29.9 A 4
022598.0 022598 0 CASTCU 49.47 355.48 23.6 A 4
022599.0 022599 0 GORDAX 47.27 354.1 12.9 A 4
022602.0 022602 0 MACHMU 47.75 352.7 33.3 A 4
022630.0 022630 0 MACHZU 55.87 355.08 20.7 A 4
022648.0 022648 0 PYRESH 58 359.73 10.8 A 4
022649.0 022649 0 CASTCU 58.96 359.43 14.6 A 4
022659.0 022659 0 CASTCU 59.84 351.56 53.7 A 4
022664.0 022664 0 LIMLUR 52.96 342.07 29.9 A 4
